name,idno,cntry,tvtot,tvpol,polintr,vote,lrscale,stflife,happy,health,rlgdgr,fclcntr,cgtsmke,alcfreq,height,weight,gndr,agea,yrbrn,marsts,edulvlb,eduyrs,emplrel
ESS7e02_1,1,AT,4,1,2,1,4,10,7,2,4,1,3,2,188,90,1,51,1964,6,322,13,1
ESS7e02_1,2,AT,7,3,1,1,0,7,5,3,3,1,3,6,162,90,1,67,1948,4,113,8,1
ESS7e02_1,4,AT,3,1,2,1,7,8,9,1,5,1,1,3,176,84,1,32,1983,6,322,13,1
ESS7e02_1,6,AT,2,2,1,1,10,10,10,2,2,1,1,5,160,62,2,67,1948,,322,11,1
ESS7e02_1,7,AT,7,5,2,1,5,7,8,2,6,1,1,2,186,102,1,66,1949,,322,12,1
ESS7e02_1,13,AT,3,1,3,1,3,8,8,3,5,1,3,2,173,69,2,67,1948,4,422,14,1
ESS7e02_1,14,AT,4,1,2,1,5,3,4,1,4,2,1,4,168,56,2,34,1981,6,720,18,1
ESS7e02_1,21,AT,5,2,4,1,4,8,7,2,5,2,5,5,164,102,2,66,1949,,322,11,2
ESS7e02_1,22,AT,3,1,3,1,5,7,7,2,6,1,5,2,168,64,1,61,1954,,322,11,1
ESS7e02_1,23,AT,0,,3,1,2,10,10,1,9,1,5,6,170,67,2,55,1960,,322,12,1
ESS7e02_1,24,AT,7,1,4,1,5,10,10,3,8,1,5,1,163,75,2,79,1936,5,212,8,2
ESS7e02_1,25,AT,5,1,3,1,5,9,9,2,7,1,5,4,176,95,2,38,1977,6,322,13,1
ESS7e02_1,26,AT,4,3,3,1,7,7,7,2,0,1,1,3,169,57,1,35,1980,6,322,11,1
ESS7e02_1,33,AT,4,3,2,1,5,9,9,1,9,1,4,3,165,53,2,40,1975,,313,15,1
ESS7e02_1,34,AT,3,1,2,1,5,10,9,2,5,3,4,6,186,97,1,42,1972,,322,14,1
ESS7e02_1,35,AT,4,1,3,1,5,10,10,1,7,1,3,4,170,65,2,36,1979,,322,11,1
ESS7e02_1,36,AT,3,2,2,1,5,10,9,2,6,1,3,4,164,75,2,52,1963,,322,12,1
ESS7e02_1,37,AT,6,3,2,1,5,10,10,1,7,1,4,3,182,77,1,27,1988,6,423,13,1
ESS7e02_1,38,AT,4,1,3,1,6,9,9,1,7,2,3,6,167,69,2,34,1981,,322,11,1
ESS7e02_1,39,AT,1,1,2,1,8,8,9,3,9,1,5,7,165,90,2,63,1951,,113,8,
ESS7e02_1,40,AT,6,1,4,1,5,10,7,3,10,1,5,7,156,70,2,64,1951,5,113,8,1
ESS7e02_1,45,AT,7,1,2,1,5,7,5,3,5,1,3,3,174,105,1,50,1965,1,322,12,1
ESS7e02_1,46,AT,0,,3,1,3,9,7,1,0,1,2,3,172,63,2,46,1969,4,520,14,1
ESS7e02_1,47,AT,2,2,2,1,5,10,8,2,5,1,5,3,183,90,1,52,1963,,322,12,2
ESS7e02_1,48,AT,0,,3,2,3,10,9,1,9,2,5,5,164,47,2,18,1997,6,212,11,
ESS7e02_1,49,AT,2,0,4,3,5,10,9,1,5,1,5,5,167,51,2,16,1999,6,212,10,
ESS7e02_1,50,AT,0,,2,1,4,8,8,1,7,1,1,1,176,70,1,52,1963,,322,9,1
ESS7e02_1,51,AT,5,2,2,2,6,9,8,1,0,4,1,3,183,94,1,32,1983,,322,12,1
ESS7e02_1,52,AT,5,2,2,1,5,5,8,2,6,1,3,3,165,72,1,72,1943,,212,9,1
ESS7e02_1,57,AT,5,3,2,1,5,5,7,3,5,1,1,3,178,88,1,69,1946,4,322,11,1
ESS7e02_1,58,AT,1,1,2,2,5,8,8,2,0,2,2,3,165,63,2,39,1976,6,720,21,2
ESS7e02_1,59,AT,3,0,1,1,3,9,9,1,7,1,4,3,175,64,2,57,1958,5,720,19,1
ESS7e02_1,65,AT,6,1,3,2,5,8,7,3,5,2,1,4,171,66,2,54,1961,4,322,12,1
ESS7e02_1,66,AT,5,0,4,2,5,10,10,1,8,1,1,5,158,55,2,41,1974,6,322,11,1
