ID,sex,year_birth,race,experience,hours,wage,tenure,industry,occup,education
1,female,1981,non-black / non-hispanic,642,40,22.5,211,trade,"Management, business, and financial",college/graduate degree
2,male,1982,hispanic,530,40,27.98,191,"public administration, military and special",Services,some  college
4,female,1981,hispanic,628,40,14.92,117,"transportation, communication",Sales and related,some  college
5,male,1982,hispanic,342,48,28.450001,237,"public administration, military and special",Services,high school
6,female,1982,hispanic,463,40,15,278,"education, health, social services",Services,some  college
7,male,1983,hispanic,94,40,10,11,"finance, insurance, real estate, other professional",Services,ged or none
9,male,1982,non-black / non-hispanic,328,40,16.98,222,"education, health, social services",Services,college/graduate degree
11,female,1982,hispanic,290,21,18.02,207,"education, health, social services",Office and administrative support,some  college
12,male,1981,hispanic,545,55,21.68,290,trade,Sales and related,some  college
13,male,1984,hispanic,293,40,4.6500001,58,"entertainment, accomodation, food and other services",Services,ged or none
15,female,1983,hispanic,321,20,9.4700003,145,trade,Sales and related,some  college
22,male,1982,hispanic,509,40,23,342,"finance, insurance, real estate, other professional",Services,high school
23,female,1983,hispanic,517,35,27.67,284,"entertainment, accomodation, food and other services","Management, business, and financial",college/graduate degree
28,female,1983,black,324,40,14.9,230,"education, health, social services",Teachers,college/graduate degree
31,male,1982,non-black / non-hispanic,585,40,40.869999,206,construction,"Management, business, and financial",college/graduate degree
32,female,1981,non-black / non-hispanic,619,40,47.5,17,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
33,female,1980,non-black / non-hispanic,588,45,8.8900003,567,"education, health, social services",Services,college/graduate degree
35,male,1983,non-black / non-hispanic,309,40,20.190001,205,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
37,female,1980,non-black / non-hispanic,312,40,27,189,"transportation, communication",Services,college/graduate degree
38,female,1981,non-black / non-hispanic,469,40,21,71,"transportation, communication",Services,college/graduate degree
41,female,1983,non-black / non-hispanic,453,30,4.5999999,20,"entertainment, accomodation, food and other services",Services,college/graduate degree
43,female,1981,black,406,13,7.25,-3,"finance, insurance, real estate, other professional",Production,ged or none
45,female,1984,black,457,40,8,296,"education, health, social services",Services,ged or none
47,female,1982,black,299,40,14.5,33,"entertainment, accomodation, food and other services",Office and administrative support,some  college
48,female,1983,black,522,40,23.08,86,"education, health, social services",Professional and related,college/graduate degree
49,female,1982,black,513,30,21.17,454,trade,Services,high school
50,female,1983,black,320,37,11.92,95,"education, health, social services",Office and administrative support,ged or none
51,male,1980,black,536,40,12,167,"finance, insurance, real estate, other professional",Services,some  college
52,male,1983,black,323,30,12.25,155,"transportation, communication",Services,high school
53,female,1984,black,459,40,14,199,"transportation, communication",Services,high school
54,female,1984,black,317,35,15.5,38,"education, health, social services",Services,college/graduate degree
55,female,1981,hispanic,315,40,23.75,206,"public administration, military and special",Services,college/graduate degree
56,female,1982,non-black / non-hispanic,506,40,28.17,60,"education, health, social services",Services,college/graduate degree
57,male,1982,black,366,40,11,223,"finance, insurance, real estate, other professional",Services,high school
58,male,1983,black,371,40,34,228,"public administration, military and special",Services,some  college
60,male,1984,non-black / non-hispanic,150,24,8,9,"finance, insurance, real estate, other professional",Office and administrative support,college/graduate degree
61,female,1983,black,487,40,12.9,125,"transportation, communication",Office and administrative support,college/graduate degree
62,male,1980,black,332,35,11.2,17,trade,Sales and related,college/graduate degree
65,male,1984,black,343,40,10,252,"education, health, social services",Services,college/graduate degree
67,male,1980,black,151,20,25,132,"education, health, social services",Services,college/graduate degree
69,female,1981,black,386,40,25,156,"public administration, military and special",Professional and related,college/graduate degree
71,male,1980,black,357,40,13.75,169,"finance, insurance, real estate, other professional",Office and administrative support,some  college
74,male,1983,non-black / non-hispanic,191,15,15,3,"finance, insurance, real estate, other professional",Professional and related,college/graduate degree
75,male,1982,non-black / non-hispanic,400,40,17.309999,254,"transportation, communication",Office and administrative support,some  college
76,male,1982,non-black / non-hispanic,233,42,22.620001,226,"public administration, military and special",Services,high school
78,female,1981,non-black / non-hispanic,196,25,10,97,"entertainment, accomodation, food and other services",Office and administrative support,college/graduate degree
79,male,1983,hispanic,126,25,7.5,34,"finance, insurance, real estate, other professional",Production,some  college
81,female,1984,black,162,45,1.8099999,10,"entertainment, accomodation, food and other services",Services,ged or none
82,male,1984,hispanic,154,32,15.87,34,"finance, insurance, real estate, other professional","Installation, maintenance, and repair",college/graduate degree
83,male,1981,hispanic,414,33,15,327,"education, health, social services","Management, business, and financial",ged or none
85,male,1984,non-black / non-hispanic,325,40,17.5,66,construction,Construction and extraction,high school
86,female,1980,non-black / non-hispanic,381,38,18.879999,142,"transportation, communication","Management, business, and financial",college/graduate degree
89,male,1981,non-black / non-hispanic,416,45,24.360001,164,"education, health, social services",Teachers,college/graduate degree
90,male,1981,hispanic,590,40,12,395,trade,Services,college/graduate degree
91,female,1982,hispanic,120,40,20,57,"public administration, military and special",Professional and related,college/graduate degree
93,male,1983,hispanic,233,50,15.09,166,"agriculture, mining, manufacturing",Production,high school
94,female,1980,black,669,37,25.209999,463,"public administration, military and special",Office and administrative support,college/graduate degree
97,male,1980,hispanic,422,40,27.879999,394,"public administration, military and special",Office and administrative support,college/graduate degree
100,female,1981,black,454,40,12,1,"entertainment, accomodation, food and other services",Office and administrative support,ged or none
104,female,1980,non-black / non-hispanic,702,40,18.5,17,"entertainment, accomodation, food and other services",Office and administrative support,college/graduate degree
105,male,1983,non-black / non-hispanic,585,40,23,217,"finance, insurance, real estate, other professional",Transportation and material moving,high school
107,female,1982,non-black / non-hispanic,491,60,22.440001,210,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
108,male,1984,non-black / non-hispanic,218,40,24.040001,91,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
109,female,1982,non-black / non-hispanic,379,50,20,321,"transportation, communication",Sales and related,college/graduate degree
110,female,1984,non-black / non-hispanic,516,40,28.75,126,"education, health, social services",Teachers,college/graduate degree
111,female,1981,non-black / non-hispanic,749,40,20.58,206,"finance, insurance, real estate, other professional",Military and special,college/graduate degree
113,male,1984,non-black / non-hispanic,305,40,18.75,9,"public administration, military and special",Office and administrative support,some  college
114,female,1982,non-black / non-hispanic,650,55,15.45,182,"entertainment, accomodation, food and other services",Services,college/graduate degree
116,male,1984,black,481,30,11.25,123,trade,Office and administrative support,high school
117,male,1984,black,401,40,13,84,trade,Transportation and material moving,high school
122,male,1984,non-black / non-hispanic,340,40,12,100,"education, health, social services",Teachers,high school
126,male,1981,non-black / non-hispanic,612,40,21.9,411,trade,Transportation and material moving,high school
127,female,1982,non-black / non-hispanic,577,45,21.370001,64,"education, health, social services","Management, business, and financial",college/graduate degree
128,female,1982,non-black / non-hispanic,583,50,20.77,116,"public administration, military and special",Office and administrative support,college/graduate degree
132,male,1983,non-black / non-hispanic,260,40,27.879999,225,"education, health, social services",Services,college/graduate degree
133,male,1982,non-black / non-hispanic,374,50,27.5,335,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
135,male,1981,non-black / non-hispanic,619,40,25.48,296,"transportation, communication",Production,college/graduate degree
137,female,1980,non-black / non-hispanic,150,35,6.29,342,"education, health, social services",Services,ged or none
142,female,1981,non-black / non-hispanic,615,40,18,381,"agriculture, mining, manufacturing",Office and administrative support,high school
144,male,1982,black,465,40,27.549999,42,"transportation, communication",Transportation and material moving,some  college
145,male,1984,black,533,40,32,205,"transportation, communication",Services,college/graduate degree
146,male,1984,black,513,40,16.700001,382,"education, health, social services",Services,high school
148,female,1982,black,397,20,9,105,"entertainment, accomodation, food and other services",Services,ged or none
150,male,1984,black,386,40,12,6,"entertainment, accomodation, food and other services",Sales and related,some  college
152,male,1982,black,281,35,5.71,303,"finance, insurance, real estate, other professional",Services,high school
155,male,1980,non-black / non-hispanic,573,60,32.049999,177,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
156,male,1982,non-black / non-hispanic,95,65,16.860001,58,"education, health, social services",Services,college/graduate degree
157,female,1982,hispanic,382,30,38.889999,218,"education, health, social services",Teachers,college/graduate degree
158,male,1984,hispanic,312,40,24.040001,215,"transportation, communication",Services,college/graduate degree
159,female,1980,hispanic,411,35,11,16,"finance, insurance, real estate, other professional",Office and administrative support,some  college
160,female,1981,hispanic,242,40,7.25,21,"education, health, social services",Services,ged or none
162,female,1981,black,432,37,21.34,113,"education, health, social services",Professional and related,college/graduate degree
164,female,1981,non-black / non-hispanic,685,40,21.389999,257,"finance, insurance, real estate, other professional",Office and administrative support,some  college
165,male,1980,non-black / non-hispanic,531,45,38.459999,102,"finance, insurance, real estate, other professional",Sales and related,college/graduate degree
166,female,1982,non-black / non-hispanic,468,40,35.599998,145,"education, health, social services",Services,college/graduate degree
168,male,1981,hispanic,519,40,17.5,103,"agriculture, mining, manufacturing",Office and administrative support,high school
170,female,1984,non-black / non-hispanic,387,40,14.45,193,"finance, insurance, real estate, other professional",Office and administrative support,some  college
171,female,1984,hispanic,558,40,16,261,trade,Sales and related,some  college
176,male,1982,non-black / non-hispanic,877,40,27.549999,246,"finance, insurance, real estate, other professional","Management, business, and financial",college/graduate degree
177,female,1980,non-black / non-hispanic,589,40,36.25,58,"education, health, social services",Professional and related,college/graduate degree
